name,cafeurl,reviewcnt,rating,pricerng,postcode,lat,long,rev_Excellent,rev_Very good,rev_Average,rev_Poor,rev_Terrible,topcat,borough,price_num
Kennington Lane Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2654773-Reviews-Kennington_Lane_Cafe-London_England.html,1858,5.0,£,SE11 5QY,51.4881,-0.113125,1270,89,14,5,15,Excellent,Lambeth,1
"Coffee, Cake & Kisses",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7721156-Reviews-Coffee_Cake_Kisses-London_England.html,289,5.0,££ - £££,W1T 5NN,51.5085,-0.1257,245,23,4,1,0,Excellent,Camden,2
Wassouf Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6619139-Reviews-Wassouf_Lounge-London_England.html,234,5.0,£,W14 0SJ,51.49550000000001,-0.21798,187,12,6,3,3,Excellent,Hammersmith and Fulham,1
Drury 188-189,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11931040-Reviews-Drury_188_189-London_England.html,720,5.0,££ - £££,WC2B 5QD,51.5085,-0.1257,516,64,8,10,2,Excellent,Camden,2
Albertini Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3915265-Reviews-Albertini_Restaurant-London_England.html,864,4.5,££ - £££,NW1 1JH,51.52988181818182,-0.1471818181818182,553,137,23,9,10,Excellent,Camden,2
Bond St. Tea Rooms,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10436580-Reviews-Bond_St_Tea_Rooms-London_England.html,576,4.5,££ - £££,W1C 1BY,51.5085,-0.1257,387,70,17,8,11,Excellent,Westminster,2
Monmouth Coffee Company,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2412258-Reviews-Monmouth_Coffee_Company-London_England.html,630,4.5,££ - £££,SE1 9AB,51.49874615384616,-0.0930384615384615,358,110,23,5,6,Excellent,Southwark,2
49 Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4104427-Reviews-49_Cafe-London_England.html,333,4.5,£,WC1N 1AP,51.5085,-0.1257,188,54,14,2,8,Excellent,Camden,1
Exmouth Coffee Co.,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3782226-Reviews-Exmouth_Coffee_Co-London_England.html,574,4.5,£,E1 7QX,51.51302727272727,-0.0617727272727272,234,76,22,8,5,Excellent,Tower Hamlets,1
Afternoon Tea At Cafe Royal,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6778719-Reviews-Afternoon_Tea_At_Cafe_Royal-London_England.html,645,4.5,££££,W1B 4DY,51.5085,-0.1257,403,84,57,18,12,Excellent,Westminster,3
Attendant Coffee Roasters,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4065362-Reviews-Attendant_Coffee_Roasters-London_England.html,469,4.5,£,W1W 6DY,51.5085,-0.1257,257,111,18,1,7,Excellent,Westminster,1
Le Signore,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2371556-Reviews-Le_Signore-London_England.html,169,4.5,£,SW1E 5HY,51.5085,-0.1257,110,26,3,3,1,Excellent,Westminster,1
Over Under Earl's Court,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12132470-Reviews-Over_Under_Earl_s_Court-London_England.html,300,4.5,£,SW5 9RD,51.487,-0.1909999999999999,181,42,9,4,8,Excellent,Kensington and Chelsea,1
Monmouth Coffee Company,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d731156-Reviews-Monmouth_Coffee_Company-London_England.html,588,4.5,£,WC2H 9EU,51.5085,-0.1257,348,100,24,10,16,Excellent,Camden,1
Kaffeine,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1552112-Reviews-Kaffeine-London_England.html,395,4.5,£,W1W 7QJ,51.5085,-0.1257,241,67,29,10,4,Excellent,Westminster,1
Crystal Moon Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2233501-Reviews-Crystal_Moon_Lounge-London_England.html,467,4.5,££££,SW1A 2BD,51.5018,-0.1328,301,84,31,17,9,Excellent,Westminster,3
L'Elysee Artisan Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7708481-Reviews-L_Elysee_Artisan_Cafe-London_England.html,140,5.0,££ - £££,W14 0QH,51.49550000000001,-0.21798,105,20,1,0,0,Excellent,Hammersmith and Fulham,2
The Drawing Room at Brown's Hotel,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1422085-Reviews-The_Drawing_Room_at_Brown_s_Hotel-London_England.html,1063,4.0,££££,W1S 4BP,51.5085,-0.1257,555,153,130,62,29,Excellent,Westminster,3
Bloomsbury Coffee House,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2509818-Reviews-Bloomsbury_Coffee_House-London_England.html,321,4.5,££ - £££,WC1H 9RE,51.5085,-0.1257,134,70,14,5,4,Excellent,Camden,2
The Corner Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1929349-Reviews-The_Corner_Cafe-London_England.html,194,4.5,£,SE1 7JY,51.49874615384616,-0.0930384615384615,106,32,6,1,2,Excellent,Lambeth,1
Whittard of Chelsea Covent Garden Tea Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10838536-Reviews-Whittard_of_Chelsea_Covent_Garden_Tea_Bar-London_England.html,322,4.5,££ - £££,WC2E 8RB,51.5085,-0.1257,129,38,16,9,9,Excellent,Westminster,2
London Grind,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7755677-Reviews-London_Grind-London_England.html,626,4.0,££ - £££,SE1 9RA,51.49874615384616,-0.0930384615384615,318,146,49,42,36,Excellent,Southwark,2
Barbarellas,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2307141-Reviews-Barbarellas-London_England.html,212,4.5,£,SE1 7AE,51.49874615384616,-0.0930384615384615,105,48,9,0,3,Excellent,Lambeth,1
Maroush Bakehouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3535315-Reviews-Maroush_Bakehouse-London_England.html,634,4.5,££ - £££,SW5 9RH,51.487,-0.1909999999999999,317,117,18,9,20,Excellent,Kensington and Chelsea,2
PAUL Gloucester Road,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1019003-Reviews-PAUL_Gloucester_Road-London_England.html,468,4.5,£,SW7 4SS,51.49598333333333,-0.1762833333333333,182,119,16,4,9,Excellent,Kensington and Chelsea,1
Algerian Coffee Stores,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1982142-Reviews-Algerian_Coffee_Stores-London_England.html,181,5.0,£,W1D 4PB,51.5085,-0.1257,139,22,3,2,2,Excellent,Westminster,1
Beppe's Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3726212-Reviews-Beppe_s_Cafe-London_England.html,130,5.0,£,EC1A 9HY,51.5085,-0.1257,98,15,2,1,1,Excellent,City and Hackney Teaching,1
carpo piccadilly,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4493582-Reviews-Carpo_piccadilly-London_England.html,332,4.5,££ - £££,W1J 0DE,51.5085,-0.1257,179,49,10,9,9,Excellent,Westminster,2
Pret a Manger,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3177152-Reviews-Pret_a_Manger-London_England.html,254,4.5,£,EC3R 5AS,51.5114,-0.0855,57,54,9,0,2,Excellent,City and Hackney Teaching,1
Cup Tales,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14765142-Reviews-Cup_Tales-London_England.html,89,5.0,£,N22 8NG,51.6,-0.1167,85,1,1,1,0,Excellent,Haringey Teaching,1
Istanbul Cafe & Bistro,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4583651-Reviews-Istanbul_Cafe_Bistro-London_England.html,350,4.5,££ - £££,W1W 5PP,51.5085,-0.1257,159,91,17,7,14,Excellent,Westminster,2
Ole & Steen St James,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11794001-Reviews-Ole_Steen_St_James-London_England.html,574,4.5,£,SW1Y 4RP,51.5085,-0.1257,263,126,33,19,23,Excellent,Westminster,1
Maitre Choux South Kensington,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7907009-Reviews-Maitre_Choux_South_Kensington-London_England.html,322,4.5,££££,SW7 3ES,51.49598333333333,-0.1762833333333333,147,54,32,10,11,Excellent,Kensington and Chelsea,3
Bageriet Swedish Bakery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4975705-Reviews-Bageriet_Swedish_Bakery-London_England.html,213,4.5,££ - £££,WC2E 9EA,51.5085,-0.1257,139,32,9,1,8,Excellent,Westminster,2
The Muffin Man Tea Shop,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1134350-Reviews-The_Muffin_Man_Tea_Shop-London_England.html,1067,4.0,££ - £££,W8 6TA,51.501125,-0.1985,341,281,107,39,35,Excellent,Kensington and Chelsea,2
Afternoon Tea at The Promenade,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6788105-Reviews-Afternoon_Tea_at_The_Promenade-London_England.html,231,4.5,££££,W1K 1QA,51.5085,-0.1257,152,23,21,15,5,Excellent,Westminster,3
Laurents,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12276783-Reviews-Laurents-London_England.html,137,4.5,££ - £££,W2 3BX,51.51413636363636,-0.1886454545454545,74,11,3,0,5,Excellent,Westminster,2
L'ETO Caffe - Soho,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2102392-Reviews-L_ETO_Caffe_Soho-London_England.html,835,4.0,££ - £££,W1F 8WG,51.5085,-0.1257,316,173,72,55,51,Excellent,Westminster,2
Four Corners Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4593470-Reviews-Four_Corners_Cafe-London_England.html,242,4.5,£,SE1 7RJ,51.49874615384616,-0.0930384615384615,136,50,10,8,7,Excellent,Lambeth,1
Afternoon Tea at The Berkeley,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5028757-Reviews-Afternoon_Tea_at_The_Berkeley-London_England.html,287,4.5,££££,SW1X 7RL,51.4973,-0.1553,151,54,25,17,9,Excellent,Westminster,3
Victoria House Coffee & Food,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d21493341-Reviews-Victoria_House_Coffee_Food-London_England.html,53,5.0,££ - £££,WC1A 1NH,51.5085,-0.1257,46,4,1,0,1,Excellent,Camden,2
Vibes,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12568638-Reviews-Vibes-London_England.html,68,5.0,££ - £££,SW11 4LX,51.469166666666666,-0.1619333333333333,55,5,0,0,1,Excellent,Wandsworth,2
Patisserie Deux Amis,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1646831-Reviews-Patisserie_Deux_Amis-London_England.html,147,4.5,£,WC1H 9QT,51.5085,-0.1257,87,28,9,1,2,Excellent,Camden,1
The Quaker Centre Bookshop & Seed Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2667907-Reviews-The_Quaker_Centre_Bookshop_Seed_Cafe-London_England.html,128,4.5,£,NW1 2BJ,51.52988181818182,-0.1471818181818182,75,43,7,0,0,Excellent,Camden,1
Aldgate Coffee House,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6476497-Reviews-Aldgate_Coffee_House-London_England.html,197,4.5,£,E1 7PL,51.51302727272727,-0.0617727272727272,75,39,7,4,4,Excellent,Tower Hamlets,1
ddks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3139577-Reviews-Ddks-London_England.html,96,4.5,£,SW1V 1QS,51.5085,-0.1257,53,11,3,2,1,Excellent,Westminster,1
GAIL's Bakery Soho,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2724125-Reviews-GAIL_s_Bakery_Soho-London_England.html,393,4.0,££ - £££,W1F 8ZL,51.5085,-0.1257,139,81,34,26,19,Excellent,Westminster,2
Maison Bertaux,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d719969-Reviews-Maison_Bertaux-London_England.html,603,4.0,££ - £££,W1D 5DQ,51.5085,-0.1257,236,131,46,31,38,Excellent,Westminster,2
Venchi,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4107843-Reviews-Venchi-London_England.html,328,4.0,££ - £££,WC2E 8RB,51.5085,-0.1257,134,51,25,9,16,Excellent,Westminster,2
Fabrique Bakery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5037183-Reviews-Fabrique_Bakery-London_England.html,170,4.5,££ - £££,E2 8HZ,51.5386,-0.055525,93,32,11,3,5,Excellent,City and Hackney Teaching,2
Black Eye Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d21068512-Reviews-Black_Eye_Coffee-London_England.html,64,5.0,£,SE10 9TS,51.4779,-0.0118,59,2,0,1,2,Excellent,Greenwich Teaching,1
Brownie Box,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3521640-Reviews-Brownie_Box-London_England.html,127,4.5,£,SW5 9HP,51.487,-0.1909999999999999,77,23,1,2,2,Excellent,Kensington and Chelsea,1
Charlie & The Chocolate Factory Afternoon Tea,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d23384549-Reviews-Charlie_The_Chocolate_Factory_Afternoon_Tea-London_England.html,103,4.5,££££,WC2B 4BZ,51.5085,-0.1257,73,9,6,8,3,Excellent,Westminster,3
The Green Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2479995-Reviews-The_Green_Cafe-London_England.html,442,4.0,££ - £££,SE10 8NB,51.4779,-0.0118,207,111,39,18,36,Excellent,Greenwich Teaching,2
Crosstown Shoreditch - Doughnuts & Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10915804-Reviews-Crosstown_Shoreditch_Doughnuts_Coffee-London_England.html,88,4.5,££ - £££,E1 6SB,51.51302727272727,-0.0617727272727272,57,13,3,3,0,Excellent,Tower Hamlets,2
Flavours of Naples,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4007178-Reviews-Flavours_of_Naples-London_England.html,152,4.5,££ - £££,SE1 1JG,51.49874615384616,-0.0930384615384615,111,14,2,6,6,Excellent,Southwark,2
PAUL Earls Court,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11899664-Reviews-PAUL_Earls_Court-London_England.html,226,4.0,££ - £££,SW5 9RD,51.487,-0.1909999999999999,72,52,19,4,11,Excellent,Kensington and Chelsea,2
Yurt Cafe Limehouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9881561-Reviews-Yurt_Cafe_Limehouse-London_England.html,136,4.5,£,E14 8DS,51.50563529411765,-0.0187647058823529,72,28,14,1,4,Excellent,Tower Hamlets,1
Pamban Chai & Coffee House,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12607696-Reviews-Pamban_Chai_Coffee_House-London_England.html,128,4.5,££ - £££,NW1 8AH,51.52988181818182,-0.1471818181818182,83,15,5,3,4,Excellent,Camden,2
Rhythm & Brews,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9725948-Reviews-Rhythm_Brews-London_England.html,148,4.5,££ - £££,W4 4HG,51.4927,-0.258,117,13,3,6,8,Excellent,Hounslow,2
Look Mum No Hands,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1913637-Reviews-Look_Mum_No_Hands-London_England.html,341,4.0,££ - £££,EC1V 9HX,51.5265,-0.0986,115,102,30,14,22,Excellent,Islington,2
Fork Deli Patisserie,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2536225-Reviews-Fork_Deli_Patisserie-London_England.html,191,4.5,£,WC1N 1AL,51.5085,-0.1257,85,42,19,8,3,Excellent,Camden,1
Hart & Lova Bakery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6523103-Reviews-Hart_Lova_Bakery-London_England.html,104,4.5,££ - £££,NW6 4AA,51.54194444444445,-0.1931888888888888,79,11,1,1,3,Excellent,Camden,2
Caffe In,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4065834-Reviews-Caffe_In-London_England.html,180,4.0,££ - £££,W1J 7HL,51.5085,-0.1257,77,67,8,5,8,Excellent,Westminster,2
Mono London,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3378827-Reviews-Mono_London-London_England.html,82,5.0,£,E3 5EL,51.52765714285714,-0.0265714285714285,76,0,0,0,1,Excellent,Tower Hamlets,1
WatchHouse Tower Bridge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10532763-Reviews-WatchHouse_Tower_Bridge-London_England.html,143,4.5,££ - £££,SE1 2NJ,51.49874615384616,-0.0930384615384615,64,38,3,8,6,Excellent,Southwark,2
Bonne Bouche Paddington,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2648873-Reviews-Bonne_Bouche_Paddington-London_England.html,277,4.0,£,W2 1RL,51.51413636363636,-0.1886454545454545,95,70,27,11,10,Excellent,Westminster,1
Snowflake Luxury Gelato,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5540526-Reviews-Snowflake_Luxury_Gelato-London_England.html,366,4.0,££ - £££,W1F 0TP,51.5085,-0.1257,168,88,32,23,19,Excellent,Westminster,2
Cutter & Squidge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8011420-Reviews-Cutter_Squidge-London_England.html,635,4.0,££ - £££,W1F 0SJ,51.5085,-0.1257,316,123,50,53,68,Excellent,Westminster,2
The Breakfast Club,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2089849-Reviews-The_Breakfast_Club-London_England.html,526,4.0,££ - £££,N1 8EA,51.53669,-0.0944,129,132,61,42,29,Very good,Islington,2
How Matcha Cafe Marylebone,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d24150962-Reviews-How_Matcha_Cafe_Marylebone-London_England.html,29,5.0,£,W1U 7HQ,51.5085,-0.1257,26,2,0,0,0,Excellent,Westminster,1
Coffee Geek and Friends - Specialty coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9792001-Reviews-Coffee_Geek_and_Friends_Specialty_coffee-London_England.html,76,4.5,£,SW1E 5JH,51.5085,-0.1257,43,18,5,0,0,Excellent,Westminster,1
Beany Green Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7039117-Reviews-Beany_Green_Coffee-London_England.html,235,4.0,££ - £££,W2 6EZ,51.51413636363636,-0.1886454545454545,119,44,20,19,13,Excellent,Westminster,2
Attendant Coffee Roasters,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8781065-Reviews-Attendant_Coffee_Roasters-London_England.html,152,4.5,££ - £££,EC2A 3JL,51.5237,-0.0877,75,29,7,6,7,Excellent,City and Hackney Teaching,2
Granier Bakery-cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12000414-Reviews-Granier_Bakery_cafe-London_England.html,121,4.5,£,W2 4SJ,51.51413636363636,-0.1886454545454545,33,24,2,1,5,Excellent,Westminster,1
Cafe Nero,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1887425-Reviews-Cafe_Nero-London_England.html,522,4.0,£,SW1A 2JH,51.5018,-0.1328,98,94,43,20,34,Excellent,Westminster,1
Chairs & Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4875502-Reviews-Chairs_Coffee-London_England.html,92,4.5,£,SW6 5NJ,51.4803,-0.1993,56,19,3,2,1,Excellent,Hammersmith and Fulham,1
Kahve Dunyasi,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2423572-Reviews-Kahve_Dunyasi-London_England.html,445,4.0,££ - £££,W1J 9HU,51.5085,-0.1257,165,107,40,18,32,Excellent,Westminster,2
Shoreditch Grind,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2555448-Reviews-Shoreditch_Grind-London_England.html,360,4.0,£,EC1V 9NR,51.5265,-0.0986,124,114,50,19,24,Excellent,Islington,1
Tap Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5220151-Reviews-Tap_Coffee-London_England.html,158,4.5,££ - £££,W1F 8ZF,51.5085,-0.1257,80,36,13,3,5,Excellent,Westminster,2
The Coffee Traveller,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8552847-Reviews-The_Coffee_Traveller-London_England.html,108,4.5,££ - £££,W4 3RE,51.4927,-0.258,83,14,6,2,3,Excellent,Hounslow,2
Peggy Porschen Belgravia,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3573166-Reviews-Peggy_Porschen_Belgravia-London_England.html,1172,4.0,££ - £££,SW1W 9QQ,51.5085,-0.1257,317,168,121,98,93,Excellent,Westminster,2
Coffee in the Wood,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5818788-Reviews-Coffee_in_the_Wood-London_England.html,95,4.5,£,SW19 2JF,51.42343333333333,-0.1973333333333333,73,11,4,3,2,Excellent,Sutton and Merton,1
WatchHouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3802454-Reviews-WatchHouse-London_England.html,128,4.5,££ - £££,SE1 3UW,51.49874615384616,-0.0930384615384615,79,24,6,4,4,Excellent,Southwark,2
L'ETO Caffe - King's Road,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4975313-Reviews-L_ETO_Caffe_King_s_Road-London_England.html,181,4.0,££ - £££,SW3 5TX,51.487975000000006,-0.165875,81,38,10,6,11,Excellent,Kensington and Chelsea,2
Cafe Millennium,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14005180-Reviews-Cafe_Millennium-London_England.html,43,5.0,£,N1 9EZ,51.53669,-0.0944,38,2,0,0,0,Excellent,Islington,1
Kahaila,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4240823-Reviews-Kahaila-London_England.html,160,4.5,£,E1 6SB,51.51302727272727,-0.0617727272727272,60,47,9,2,7,Excellent,Tower Hamlets,1
Prufrock Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4411761-Reviews-Prufrock_Coffee-London_England.html,194,4.0,£,EC1N 7TE,51.5085,-0.1257,94,46,23,13,8,Excellent,Camden,1
Brickwood Coffee & Bread,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4840624-Reviews-Brickwood_Coffee_Bread-London_England.html,273,4.0,££ - £££,SW4 7AB,51.46758,-0.1291199999999999,136,67,31,19,13,Excellent,Lambeth,2
The Teapot Forest Hill,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8009031-Reviews-The_Teapot_Forest_Hill-London_England.html,64,4.5,£,SE23 3HF,51.44696666666667,-0.0416666666666666,50,11,0,0,2,Excellent,Lewisham,1
Doctor Espresso Caffetteria,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4749147-Reviews-Doctor_Espresso_Caffetteria-London_England.html,92,4.5,£,SW6 3UH,51.4803,-0.1993,58,13,1,1,3,Excellent,Hammersmith and Fulham,1
The Black Lab Coffee House,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4107469-Reviews-The_Black_Lab_Coffee_House-London_England.html,107,4.5,£,SW4 7AB,51.46758,-0.1291199999999999,69,23,7,3,2,Excellent,Lambeth,1
Orange Pekoe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2307168-Reviews-Orange_Pekoe-London_England.html,156,4.5,££ - £££,SW13 0PX,51.4735,-0.2484,71,38,14,8,5,Excellent,Richmond and Twickenham,2
The Blue Legume,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2637549-Reviews-The_Blue_Legume-London_England.html,277,4.0,££ - £££,N1 1RG,51.53669,-0.0944,108,98,26,17,15,Excellent,Islington,2
La Gauloise,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6678666-Reviews-La_Gauloise-London_England.html,89,4.5,£,NW1 6AE,51.52988181818182,-0.1471818181818182,72,5,1,2,5,Excellent,Westminster,1
Fuckoffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11612164-Reviews-Fuckoffee-London_England.html,122,4.5,£,SE1 3UW,51.49874615384616,-0.0930384615384615,59,33,8,4,6,Excellent,Southwark,1
Kobo Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12266005-Reviews-Kobo_Cafe-London_England.html,55,5.0,£,N1 0PD,51.53669,-0.0944,47,4,1,0,1,Excellent,Islington,1
Deli Bar at W14,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4366368-Reviews-Deli_Bar_at_W14-London_England.html,58,4.5,£,W14 9JL,51.49550000000001,-0.21798,41,11,1,1,0,Excellent,Hammersmith and Fulham,1
Dauns,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d23814289-Reviews-Dauns-London_England.html,23,5.0,£,E1 7TD,51.51302727272727,-0.0617727272727272,23,0,0,0,0,Excellent,Tower Hamlets,1
Chapati & Karak,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6954782-Reviews-Chapati_Karak-London_England.html,257,4.0,££ - £££,SW3 1HY,51.487975000000006,-0.165875,125,48,30,15,19,Excellent,Kensington and Chelsea,2
Carpo Knightsbridge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10244659-Reviews-Carpo_Knightsbridge-London_England.html,71,4.5,£,SW7 1EX,51.49598333333333,-0.1762833333333333,46,12,1,0,2,Excellent,Kensington and Chelsea,1
2 Love Tea and Coffee House,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5816579-Reviews-2_Love_Tea_and_Coffee_House-London_England.html,106,4.5,££ - £££,SW11 1QY,51.469166666666666,-0.1619333333333333,61,23,7,3,4,Excellent,Wandsworth,2
Electric Coffee Co (Ealing),https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3906475-Reviews-Electric_Coffee_Co_Ealing-London_England.html,150,4.5,£,W5 2NX,51.516333333333336,-0.2851888888888889,103,25,11,2,6,Excellent,Ealing,1
Nostro Cafe Costa (I Love Coffee),https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3200425-Reviews-Nostro_Cafe_Costa_I_Love_Coffee-London_England.html,59,5.0,£,SW16 1BW,51.42283333333334,-0.1242666666666666,49,9,0,1,0,Excellent,Lambeth,1
Cafe de Nata Soho,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d16662447-Reviews-Cafe_de_Nata_Soho-London_England.html,67,4.5,£,W1D 5JN,51.5085,-0.1257,47,8,1,1,4,Excellent,Westminster,1
The Coffee Jar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4218115-Reviews-The_Coffee_Jar-London_England.html,118,4.5,£,NW1 7PP,51.52988181818182,-0.1471818181818182,82,11,3,3,5,Excellent,Camden,1
Franze and Evans Cafe Shoreditch,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2702225-Reviews-Franze_and_Evans_Cafe_Shoreditch-London_England.html,210,4.0,££ - £££,E2 7DL,51.5386,-0.055525,95,33,14,10,17,Excellent,Tower Hamlets,2
The Tea Room,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2350723-Reviews-The_Tea_Room-London_England.html,493,4.0,££ - £££,SW1X 7XL,51.4973,-0.1553,154,134,66,43,39,Excellent,Kensington and Chelsea,2
Nico,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d17567274-Reviews-Nico-London_England.html,31,5.0,£,SE25 6XU,51.398325,-0.06895,31,0,0,0,0,Excellent,Croydon,1
Bluebelles of Portobello,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4288453-Reviews-Bluebelles_of_Portobello-London_England.html,152,4.0,££ - £££,W10 5RU,51.523,-0.2188,70,30,14,8,9,Excellent,Kensington and Chelsea,2
The Eclectic Collection,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12426506-Reviews-The_Eclectic_Collection-London_England.html,64,4.5,££ - £££,SW18 4ST,51.4489,-0.1971,47,8,4,4,0,Excellent,Wandsworth,2
