name,cafeurl,reviewcnt,rating,pricerng,postcode,lat,long,rev_Excellent,rev_Very good,rev_Average,rev_Poor,rev_Terrible,topcat,borough,price_num
Tea House Theatre,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2409541-Reviews-Tea_House_Theatre-London_England.html,388,3.0,££ - £££,SE11 5HL,51.4881,-0.113125,99,65,49,54,107,Terrible,Lambeth,2
Simit Sarayi,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12032200-Reviews-Simit_Sarayi-London_England.html,57,3.0,£,W1D 1BN,51.5085,-0.1257,12,13,2,5,14,Terrible,Westminster,1
Costa coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5978691-Reviews-Costa_coffee-London_England.html,21,3.5,£,WC2N 4LF,51.5085,-0.1257,5,2,1,1,5,Excellent,Westminster,1
Fresh Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7138780-Reviews-Fresh_Cafe-London_England.html,29,3.5,£,SW13 9LB,51.4735,-0.2484,10,6,2,4,7,Excellent,Richmond and Twickenham,1
Patisserie Valerie,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7312416-Reviews-Patisserie_Valerie-London_England.html,33,3.0,£,NW1 6JJ,51.52988181818182,-0.1471818181818182,5,7,4,2,8,Terrible,Westminster,1
Grosvenor's Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12064023-Reviews-Grosvenor_s_Cafe-London_England.html,16,3.5,£,W1K 6ZW,51.5085,-0.1257,3,4,4,1,3,Very good,Westminster,1
Starbucks Coffee Company,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4919418-Reviews-Starbucks_Coffee_Company-London_England.html,36,3.0,£,EC4V 6BJ,51.5085,-0.1257,3,3,4,3,7,Terrible,City and Hackney Teaching,1
Cube Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14959235-Reviews-Cube_Cafe-London_England.html,1,4.0,££ - £££,NW1 8AJ,51.52988181818182,-0.1471818181818182,0,1,0,0,0,Very good,Camden,2
Laveli Bakery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5817043-Reviews-Laveli_Bakery-London_England.html,80,3.0,£,W12 9BL,51.505,-0.2211,18,18,14,15,15,Excellent,Hammersmith and Fulham,1
La Lampara,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3252968-Reviews-La_Lampara-London_England.html,5,4.0,£,EC1V 2PN,51.5265,-0.0986,3,0,0,2,0,Excellent,Islington,1
